t,year,earth_arrivals_tons,rocket_arrivals_tons,elevator_arrivals_tons,rocket_trips,isru_production_tons,total_supply_tons,isru_share,cumulative_city_tons,capacity_tpy
0,2050.0,12000.000000000002,12000.000000000002,0.0,80.0,0.008333333333333333,12000.008333333335,6.944439621916929e-07,-3.637978807091713e-12,0.1
1,2050.0833333333335,12198.551044364362,12198.551044364362,0.0,81.0,10165.467502248077,22364.01854661244,0.4545456569471446,12706.844794476765,121985.61002697694
2,2050.1666666666665,12247.002761073949,12247.002761073949,0.0,81.0,20328.94702188367,32575.949782957618,0.624047714873349,38118.02857183135,243947.36426260404
3,2050.25,12295.353039566853,12295.353039566853,0.0,81.0,30490.37060893153,42785.72364849839,0.7126295410923037,76230.99183299576,365884.4473071784
4,2050.3333333333335,12343.599788230398,12343.599788230398,0.0,81.0,40118.108288757736,52461.708076988136,0.7647122017049839,126378.62719394294,481417.29946509283
5,2050.4166666666665,12544.725390714168,12544.725390714168,0.0,82.0,45649.709279833696,58194.43467054787,0.784434276890346,183440.76379373507,547796.5113580044
6,2050.5,12593.351888383067,12593.351888383067,0.0,82.0,50675.2863983278,63268.63828671087,0.8009542764091983,246784.87179164484,608103.4367799336
7,2050.5833333333335,12641.867344157783,12641.867344157783,0.0,82.0,55244.40346427132,67886.27080842911,0.813778733260627,315840.376121984,662932.8415712558
8,2050.6666666666665,12690.269720582899,12690.269720582899,0.0,82.0,59401.75989463179,72092.02961521469,0.8239712519079269,390092.57599027373,712821.1187355815
9,2050.75,12738.557000971403,12738.557000971403,0.0,82.0,63187.66798117464,75926.22498214604,0.8322245442340002,469077.160966742,758252.0157740957
10,2050.8333333333335,12942.662887131937,12942.662887131937,0.0,83.0,66756.17066010236,79698.8335472343,0.8376053662132791,552522.37429187,801074.0479212283
11,2050.9166666666665,12991.299999216139,12991.299999216139,0.0,83.0,70011.26334946297,83002.5633486791,0.8434831470849644,640036.4534786987,840135.1601935558
12,2051.0,13039.814616865762,13039.814616865762,0.0,83.0,72983.6032599804,86023.41787684616,0.8484155252290259,731265.9575536742,875803.2391197648
13,2051.0833333333335,13088.204785773341,13088.204785773341,0.0,83.0,75700.83825015087,88789.04303592422,0.8525921179207008,825892.0053663629,908410.0590018105
14,2051.1666666666665,13294.739279768628,13294.739279768628,0.0,84.0,78307.35168958409,91602.09096935272,0.8548642379329895,923776.194978343,939688.220275009
15,2051.25,13343.454723994315,13343.454723994315,0.0,84.0,78157.75076041298,91501.2054844073,0.8541718149684031,1014967.271353975,937893.0091249557
16,2051.3333333333335,13392.03842374141,13392.03842374141,0.0,84.0,48363.26403505825,61755.30245879966,0.7831435052451412,1081927.463472682,580359.1684206991
17,2051.4166666666665,13440.488493463863,13440.488493463863,0.0,84.0,53761.95397385545,67202.44246731931,0.8,1149129.9059400014,645143.4476862655
18,2051.5,13488.803071300097,13488.803071300097,0.0,84.0,53955.21228520038,67444.01535650047,0.8,1216573.9212965018,647462.5474224046
19,2051.5833333333335,13698.1348469079,13698.1348469079,0.0,85.0,54792.539387631594,68490.67423453949,0.8,1285064.595531041,657510.4726515792
20,2051.6666666666665,13746.744833434224,13746.744833434224,0.0,85.0,54986.97933373689,68733.72416717111,0.8,1353798.3196982122,659843.7520048427
21,2051.75,13795.212209029867,13795.212209029867,0.0,85.0,60505.872006942096,74301.08421597196,0.8143336351737327,1422774.3807433615,726070.4640833052
22,2051.8333333333335,13843.535187728628,13843.535187728628,0.0,85.0,50311.50727714354,64155.04246487217,0.7842175040986279,1491992.0566820048,603738.0873257224
23,2051.9166666666665,14055.143914569424,14055.143914569424,0.0,86.0,55958.18596122603,70013.32987579546,0.7992504578841853,1562267.7762548518,671498.2315347124
24,2052.0,14103.737888052148,14103.737888052148,0.0,86.0,56414.951552208586,70518.68944026073,0.8,1632786.4656951127,676979.4186265031
25,2052.0833333333335,14152.180497556756,14152.180497556756,0.0,86.0,56608.721990227015,70760.90248778377,0.8,1703547.3681828964,679304.6638827242
26,2052.1666666666665,14200.47003845964,14200.47003845964,0.0,86.0,56801.88015383855,71002.3501922982,0.7999999999999999,1774549.7183751946,681622.5618460627
27,2052.25,14248.604832151188,14248.604832151188,0.0,86.0,56994.419328604745,71243.02416075593,0.8,1845792.7425359506,683933.031943257
28,2052.3333333333335,14462.8225660259,14462.8225660259,0.0,87.0,57851.2902641036,72314.1128301295,0.8,1918106.85536608,694215.4831692432
29,2052.4166666666665,14511.198985062827,14511.198985062827,0.0,87.0,58044.7959402513,72555.99492531412,0.8,1990662.8502913942,696537.5512830156
30,2052.5,14559.413922506657,14559.413922506657,0.0,87.0,58237.65569002662,72797.06961253328,0.8,2063459.9199039275,698851.8682803195
31,2052.5833333333335,14607.465786943854,14607.465786943854,0.0,87.0,58429.86314777541,73037.32893471926,0.8,2136497.248838647,701158.3577733049
32,2052.6666666666665,14655.353013958984,14655.353013958984,0.0,87.0,58621.41205583593,73276.76506979491,0.7999999999999999,2209774.0139084416,703456.9446700312
33,2052.75,14872.07491758184,14872.07491758184,0.0,88.0,59488.29967032735,74360.37458790919,0.8,2284134.388496351,713859.5960439283
34,2052.8333333333335,14920.174875473316,14920.174875473316,0.0,88.0,59680.69950189326,74600.87437736658,0.7999999999999999,2358735.2628737176,716168.3940227191
35,2052.9166666666665,14968.103721288815,14968.103721288815,0.0,88.0,59872.41488515525,74840.51860644406,0.8,2433575.7814801615,718468.9786218631
36,2053.0,15015.859982892407,15015.859982892407,0.0,88.0,60063.43993156962,75079.29991446203,0.8,2508655.0813946235,720761.2791788355
37,2053.0833333333335,15234.617695652003,15234.617695652003,0.0,89.0,60938.470782608005,76173.08847826,0.8,2584828.1698728837,731261.6493912961
38,2053.1666666666665,15282.563197101883,15282.563197101883,0.0,89.0,61130.25278840753,76412.81598550941,0.8,2661240.985858393,733563.0334608904
39,2053.25,15330.329855389424,15330.329855389424,0.0,89.0,61321.31942155769,76651.64927694711,0.8,2737892.63513534,735855.8330586923
40,2053.3333333333335,15377.91629440266,15377.91629440266,0.0,89.0,61511.66517761063,76889.58147201329,0.7999999999999999,2814782.216607353,738139.9821313276
41,2053.4166666666665,15425.32116634703,15425.32116634703,0.0,89.0,61701.28466538811,77126.60583173514,0.8,2891908.8224390885,740415.4159846574
42,2053.5,15646.391951239006,15646.391951239006,0.0,90.0,62585.56780495601,78231.95975619502,0.7999999999999999,2970140.7821952836,751026.8136594722
43,2053.5833333333335,15693.958273793047,15693.958273793047,0.0,90.0,68861.58799219338,84555.54626598643,0.8143946912196091,3048610.5735642486,826339.0559063206
44,2053.6666666666665,15741.337072506318,15741.337072506318,0.0,90.0,56879.59339300406,72620.93046551038,0.7832396669720131,3127317.2589267804,682555.1207160488
45,2053.75,15788.527099249974,15788.527099249974,0.0,90.0,63221.148045220696,79009.67514447068,0.8001696998452359,3206259.8944230303,758653.7765426484
46,2053.8333333333335,15835.527134621603,15835.527134621603,0.0,90.0,69555.86290112461,85391.39003574621,0.8145535852268877,3285437.5300961384,834670.3548134953
47,2053.9166666666665,16058.806387805691,16058.806387805691,0.0,91.0,57954.43154036374,74013.23792816943,0.7830279172032587,3365731.562035167,695453.1784843649
48,2054.0,16105.94085831039,16105.94085831039,0.0,91.0,64423.763433241555,80529.70429155194,0.8,3446261.266326719,773085.1611988987
49,2054.0833333333335,16152.879701748785,16152.879701748785,0.0,91.0,64611.51880699513,80764.39850874392,0.7999999999999999,3527025.664835463,775338.2256839416
50,2054.1666666666665,16199.621801210835,16199.621801210835,0.0,91.0,64798.48720484333,80998.10900605416,0.8,3608023.7738415166,777581.84645812
51,2054.25,16246.166068721803,16246.166068721803,0.0,91.0,64984.6642748872,81230.830343609,0.7999999999999999,3689254.604185126,779815.9712986464
52,2054.3333333333335,16471.55003250468,16471.55003250468,0.0,92.0,71577.04068728545,88048.59071979014,0.812926590898831,3771612.3543476495,858924.4882474255
53,2054.4166666666665,16518.202580602312,16518.202580602312,0.0,92.0,60381.96976514251,76900.17234574482,0.7851994075340154,3854203.367250661,724583.6371817101
54,2054.5,16564.65199799145,16564.65199799145,0.0,92.0,66258.6079919658,82823.25998995724,0.8,3937026.6272406178,795103.2959035896
55,2054.5833333333335,16610.89730121112,16610.89730121112,0.0,92.0,72316.0325150177,88926.92981622882,0.8132073452267133,4020081.113746674,867792.3901802123
56,2054.6666666666665,16656.9375357456,16656.9375357456,0.0,92.0,60755.306832809176,77412.24436855478,0.784828128009789,4103365.8014254016,729063.6819937101
57,2054.75,16884.323643071388,16884.323643071388,0.0,93.0,67537.29457228555,84421.61821535694,0.8,4187787.4196407585,810447.5348674266
58,2054.8333333333335,16930.446941491315,16930.446941491315,0.0,93.0,67721.78776596524,84652.23470745656,0.7999999999999999,4272439.654348215,812661.4531915829
59,2054.9166666666665,16976.360222225707,16976.360222225707,0.0,93.0,67905.44088890283,84881.80111112853,0.8,4357321.455459344,814865.290666834
60,2055.0,17022.06263650851,17022.06263650851,0.0,93.0,68088.25054603403,85110.31318254254,0.8,4442431.768641886,817059.0065524084
61,2055.0833333333335,17067.553364340307,17067.553364340307,0.0,93.0,74317.96034649617,91385.51371083647,0.8132356795810578,4527769.535463588,891815.524157954
62,2055.1666666666665,17112.831614370094,17112.831614370094,0.0,93.0,62403.57956834542,79516.41118271551,0.7847886824891073,4613333.693535439,748842.954820145
63,2055.25,17342.390135854133,17342.390135854133,0.0,94.0,69369.56054341653,86711.95067927067,0.8,4700045.644214709,832434.7265209984
64,2055.3333333333335,17387.723439374746,17387.723439374746,0.0,94.0,69584.03775348648,86971.76119286123,0.8000762178333125,4786984.261411583,835008.4530418378
65,2055.4166666666665,17432.839753244618,17432.839753244618,0.0,94.0,76557.78749336555,93990.62724661018,0.8145257642817428,4874148.460177806,918693.4499203867
66,2055.5,17477.73839209817,17477.73839209817,0.0,94.0,63051.38109201807,80529.11948411624,0.7829637464799858,4961537.1521382965,756616.5731042168
67,2055.5833333333335,17522.41869882828,17522.41869882828,0.0,94.0,70089.67479531311,87612.09349414139,0.8,5049149.245632438,841076.0975437574
68,2055.6666666666665,17753.761747029625,17753.761747029625,0.0,95.0,71015.0469881185,88768.80873514812,0.8,5137918.054367586,852180.563857422
69,2055.75,17798.474187704887,17798.474187704887,0.0,95.0,78135.18187054503,95933.65605824991,0.8144710113320623,5226910.425306111,937622.1824465404
70,2055.8333333333335,17842.96415101833,17842.96415101833,0.0,95.0,64430.57148434781,82273.53563536613,0.7831263235106631,5316125.246061202,773166.8578121738
71,2055.9166666666665,17887.231085460015,17887.231085460015,0.0,95.0,71548.92434184004,89436.15542730005,0.8,5405561.4014885025,858587.0921020806
72,2056.0,17931.274467226656,17931.274467226656,0.0,95.0,71725.09786890663,89656.37233613328,0.8,5495217.773824636,860701.1744268795
73,2056.0833333333335,18164.305313717603,18164.305313717603,0.0,96.0,72657.22125487041,90821.52656858801,0.8,5586039.300393224,871886.655058445
74,2056.1666666666665,18208.359021393393,18208.359021393393,0.0,96.0,72833.43608557357,91041.79510696697,0.8,5677081.095500191,874001.2330268829
75,2056.25,18252.185401324357,18252.185401324357,0.0,96.0,73008.74160529743,91260.92700662179,0.8,5768342.022506813,876104.8992635692
76,2056.3333333333335,18295.784034241115,18295.784034241115,0.0,96.0,80327.78186287583,98623.56589711693,0.8144887191229013,5859820.942678018,963933.3823545099
77,2056.4166666666665,18339.154527876115,18339.154527876115,0.0,96.0,66211.97238559306,84551.12691346918,0.7830998214057553,5951516.715317398,794543.6686271168
78,2056.5,18382.29651675088,18382.29651675088,0.0,96.0,73595.37938263263,91977.67589938351,0.8001439334381563,6043428.197901153,883144.5525915916
79,2056.5833333333335,18617.138929268684,18617.138929268684,0.0,97.0,74402.36240144561,93019.5013307143,0.7998576786272079,6136513.892547497,892828.3488173474
80,2056.6666666666665,18660.267543130016,18660.267543130016,0.0,97.0,74641.07017252006,93301.33771565008,0.8,6229815.230263147,895692.8420702408
81,2056.75,18703.164324295885,18703.164324295885,0.0,97.0,74812.65729718354,93515.82162147942,0.8,6323331.051884626,897751.8875662026
82,2056.8333333333335,18745.8290095049,18745.8290095049,0.0,97.0,74983.3160380196,93729.14504752451,0.8,6417060.196932151,899799.7924562353
83,2056.9166666666665,18788.261361420093,18788.261361420093,0.0,97.0,75153.04544568036,93941.30680710045,0.7999999999999999,6511001.503739251,901836.5453481643
84,2057.0,18830.461168389167,18830.461168389167,0.0,97.0,75321.84467355665,94152.30584194582,0.7999999999999999,6605153.809581197,903862.1360826798
85,2057.0833333333335,19066.98936011863,19066.98936011863,0.0,98.0,76267.9574404745,95334.94680059314,0.7999999999999999,6700488.75638179,915215.4892856941
86,2057.1666666666665,19109.153793064404,19109.153793064404,0.0,98.0,76436.61517225762,95545.76896532203,0.7999999999999999,6796034.525347112,917239.3820670914
87,2057.25,19151.082795398626,19151.082795398626,0.0,98.0,76604.33118159449,95755.41397699312,0.7999999999999999,6891789.939324104,919251.9741791339
88,2057.3333333333335,19192.77625458122,19192.77625458122,0.0,98.0,76771.10501832487,95963.88127290609,0.8,6987753.820597011,921253.2602198985
89,2057.4166666666665,19234.234082754363,19234.234082754363,0.0,98.0,76936.93633101744,96171.1704137718,0.7999999999999999,7083924.991010782,923243.2359722093
90,2057.5,19275.456216480477,19275.456216480477,0.0,98.0,77101.8248659219,96377.28108240238,0.7999999999999999,7180302.272093185,925221.8983910627
91,2057.5833333333335,19513.54917378639,19513.54917378639,0.0,99.0,78054.19669514554,97567.74586893193,0.7999999999999999,7277870.017962117,936650.3603417465
92,2057.6666666666665,19554.715647619993,19554.715647619993,0.0,99.0,78218.86259047997,97773.57823809996,0.8,7375643.596200217,938626.3510857597
93,2057.75,19595.643975022613,19595.643975022613,0.0,99.0,78382.57590009045,97978.21987511306,0.8,7473621.81607533,940590.9108010854
94,2057.8333333333335,19636.334187875793,19636.334187875793,0.0,99.0,78545.33675150317,98181.67093937896,0.8,7571803.487014709,942544.041018038
95,2057.9166666666665,19676.786341363575,19676.786341363575,0.0,99.0,78707.14536545429,98383.93170681786,0.7999999999999999,7670187.418721527,944485.7443854514
96,2058.0,19717.000513692907,19717.000513692907,0.0,99.0,78868.00205477161,98585.00256846452,0.7999999999999999,7768772.421289992,946416.0246572593
97,2058.0833333333335,19956.542228091068,19956.542228091068,0.0,100.0,79826.16891236426,99782.71114045533,0.7999999999999999,7868555.132430447,957914.0269483711
98,2058.1666666666665,19996.682162745186,19996.682162745186,0.0,100.0,79986.72865098075,99983.41081372593,0.8,7968538.543244173,959840.743811769
99,2058.25,20036.58208604943,20036.58208604943,0.0,100.0,80179.6116257977,100216.19371184713,0.8000664229609352,8068721.45367442,962155.3395095723
100,2058.3333333333335,20076.242167150776,20076.242167150776,0.0,100.0,88210.63081366969,108286.87298082047,0.8146013305721125,8169102.664510174,1058527.5697640365
101,2058.4166666666665,20115.662597008297,20115.662597008297,0.0,100.0,72523.70496136659,92639.36755837488,0.7828605362149865,8269680.977495215,870284.459536399
102,2058.5,20154.843588100714,20154.843588100714,0.0,100.0,80619.37435240285,100774.21794050357,0.7999999999999999,8370455.195435719,967432.4922288343
103,2058.5833333333335,20395.723227871993,20395.723227871993,0.0,101.0,81582.89291148796,101978.61613935995,0.8,8472433.81157508,978994.7149378555
104,2058.6666666666665,20434.81309182729,20434.81309182729,0.0,101.0,81739.25236730915,102174.06545913644,0.7999999999999999,8574607.877034215,980871.0284077098
105,2058.75,20473.661893865294,20473.661893865294,0.0,101.0,81894.64757546116,102368.30946932646,0.7999999999999999,8676976.186503543,982735.7709055339
106,2058.8333333333335,20512.269932541683,20512.269932541683,0.0,101.0,82049.07973016672,102561.34966270841,0.7999999999999999,8779537.53616625,984588.9567620007
107,2058.9166666666665,20550.637526649687,20550.637526649687,0.0,101.0,90269.97420072841,110820.6117273781,0.8145594289155806,8882290.723799499,1083239.690408741
108,2059.0,20588.765014918976,20588.765014918976,0.0,101.0,74287.63596554623,94876.4009804652,0.78299382352037,8985234.548874093,891451.6315865548
109,2059.0833333333335,20626.652755712166,20626.652755712166,0.0,101.0,82506.61102284865,103133.26377856082,0.7999999999999999,9088367.812652655,990079.3322741839
110,2059.1666666666665,20868.898167581447,20868.898167581447,0.0,102.0,83475.59267032577,104344.49083790721,0.8,9192712.303490562,1001707.1120439093
111,2059.25,20906.677955610332,20906.677955610332,0.0,102.0,83626.71182244131,104533.38977805164,0.8,9297245.693268614,1003520.5418692958
112,2059.3333333333335,20944.21682406844,20944.21682406844,0.0,102.0,83776.86729627376,104721.0841203422,0.8,9401966.777388956,1005322.4075552851
113,2059.4166666666665,20981.515211119313,20981.515211119313,0.0,102.0,83926.06084447724,104907.57605559655,0.7999999999999999,9506874.353444552,1007112.7301337268
114,2059.5,21018.573573224814,21018.573573224814,0.0,102.0,84074.29429289926,105092.86786612407,0.8,9611967.221310677,1008891.5315147911
115,2059.5833333333335,21055.392384837833,21055.392384837833,0.0,102.0,84221.56953935133,105276.96192418916,0.8,9717244.183234867,1010658.834472216
116,2059.6666666666665,21298.756178666594,21298.756178666594,0.0,103.0,85195.02471466638,106493.78089333297,0.8,9823737.9641282,1022340.2965759966
117,2059.75,21335.45366940931,21335.45366940931,0.0,103.0,85341.81467763725,106677.26834704656,0.8,9930415.232475247,1024101.7761316469
118,2059.8333333333335,21371.910804360272,21371.910804360272,0.0,103.0,85487.64321744107,106859.55402180135,0.7999999999999999,10037274.786497047,1025851.7186092929
119,2059.9166666666665,21408.128132211103,21408.128132211103,0.0,103.0,85632.51252884441,107040.64066105551,0.8,10144315.427158102,1027590.1503461329
120,2060.0,21444.106218282002,21444.106218282002,0.0,103.0,85776.42487312801,107220.53109141001,0.8,10251535.958249513,1029317.0984775361
121,2060.0833333333335,21479.845644214325,21479.845644214325,0.0,103.0,85919.3825768573,107399.22822107162,0.8,10358935.186470585,1031032.5909222877
122,2060.1666666666665,21515.347007665754,21515.347007665754,0.0,103.0,94526.11306931447,116041.46007698022,0.8145891391456744,10466511.921508914,1134313.3568317736
123,2060.25,21759.840154258814,21759.840154258814,0.0,104.0,78574.63557838381,100334.47573264262,0.7831269860596929,10575311.122280208,942895.6269406057
124,2060.3333333333335,21795.207317140048,21795.207317140048,0.0,104.0,87180.82926856018,108976.03658570023,0.7999999999999999,10684287.158865908,1046169.9512227222
125,2060.4166666666665,21830.336010596213,21830.336010596213,0.0,104.0,87321.34404238485,109151.68005298107,0.7999999999999999,10793438.838918889,1047856.1285086182
126,2060.5,21865.226899710655,21865.226899710655,0.0,104.0,88159.70291070532,110024.92981041598,0.8012702490482235,10902764.973417442,1057916.434928464
127,2060.5833333333335,21899.88066421114,21899.88066421114,0.0,104.0,86900.72734498183,108800.60800919298,0.7987154569728072,11012264.376738498,1042808.7281397821
128,2060.6666666666665,21934.297998168764,21934.297998168764,0.0,104.0,95677.93181361472,117612.22981178349,0.8135032552884123,11121935.866729341,1148135.1817633768
129,2060.75,21968.479609698097,21968.479609698097,0.0,104.0,79933.1786178527,101901.6582275508,0.7844148957748898,11231778.264777832,959198.1434142324
130,2060.8333333333335,22213.988011240457,22213.988011240457,0.0,105.0,88855.95204496183,111069.9400562023,0.7999999999999999,11342848.204834033,1066271.424539542
131,2060.9166666666665,22248.024514104258,22248.024514104258,0.0,105.0,88992.09805641703,111240.12257052129,0.8,11454088.327404555,1067905.1766770044
132,2061.0,22281.825254804917,22281.825254804917,0.0,105.0,89127.30101921965,111409.12627402457,0.7999999999999999,11565497.45367858,1069527.612230636
133,2061.0833333333335,22315.3910019753,22315.3910019753,0.0,105.0,89261.5640079012,111576.95500987649,0.8,11677074.408688456,1071138.7680948144
134,2061.1666666666665,22348.72253693355,22348.72253693355,0.0,105.0,89394.8901477342,111743.61268466775,0.8,11788818.021373123,1072738.6817728104
135,2061.25,22381.82065339033,22381.82065339033,0.0,105.0,89527.28261356131,111909.10326695164,0.8,11900727.124640075,1074327.3913627358
136,2061.3333333333335,22414.68615715619,22414.68615715619,0.0,105.0,89658.74462862476,112073.43078578095,0.8,12012800.555425858,1075904.935543497
137,2061.4166666666665,22447.31986585261,22447.31986585261,0.0,105.0,98638.21647011072,121085.53633596333,0.8146160099289614,12125037.154755121,1183658.5976413288
138,2061.5,22693.81520489758,22693.81520489758,0.0,106.0,81926.32381289,104620.13901778757,0.7830836833332906,12238506.230779609,983115.88575468
