t,year,earth_arrivals_tons,rocket_arrivals_tons,elevator_arrivals_tons,rocket_trips,isru_production_tons,total_supply_tons,isru_share,cumulative_city_tons,capacity_tpy
0,2050.0,44750.0,0.0,44750.0,0,0.008333333333333333,44750.00833333333,1.8621970461458015e-07,0.0,0.1
1,2050.0833333333335,44750.0,0.0,44750.0,0,37291.67496527778,82041.67496527778,0.454545509718818,46614.604123263896,447500.09958333336
2,2050.1666666666665,44750.0,0.0,44750.0,0,74427.95965292245,119177.95965292245,0.6245111081753391,139649.55368941696,893135.5158350695
3,2050.25,44750.0,0.0,44750.0,0,111409.50982103527,156159.50982103526,0.7134340390073893,278911.4409657111,1336914.1178524233
4,2050.3333333333335,44750.0,0.0,44750.0,0,146976.0151996725,191726.0151996725,0.7665940120155564,462631.4599653018,1763712.1823960699
5,2050.4166666666665,44750.0,0.0,44750.0,0,166329.3118215914,211079.3118215914,0.7879943817619435,670543.099742291,1995951.741859097
6,2050.5,44750.0,0.0,44750.0,0,183783.79443532205,228533.79443532205,0.8041865094369454,900272.8427864437,2205405.5332238646
7,2050.5833333333335,44750.0,0.0,44750.0,0,199525.76177374326,244275.76177374326,0.8168054019151969,1149680.0450036228,2394309.1412849193
8,2050.6666666666665,44750.0,0.0,44750.0,0,213723.2342034892,258473.2342034892,0.8268679535120859,1416834.0877579842,2564678.8104418702
9,2050.75,44750.0,0.0,44750.0,0,226527.74707409024,271277.74707409024,0.8350399157960492,1699993.771600597,2718332.964889083
10,2050.8333333333335,44750.0,0.0,44750.0,0,238075.96811587762,282825.9681158776,0.8417754907793146,1997588.7317454442,2856911.6173905316
11,2050.9166666666665,44750.0,0.0,44750.0,0,248491.1561497915,293241.1561497915,0.8473952272335842,2308202.676932683,2981893.873797498
12,2051.0,44750.0,0.0,44750.0,0,257884.47667849116,302634.47667849116,0.8521318506366314,2630558.2727807974,3094613.720141894
13,2051.0833333333335,44750.0,0.0,44750.0,0,266356.18840060144,311106.18840060144,0.8561584382809613,2963503.508281549,3196274.2608072176
14,2051.1666666666665,44750.0,0.0,44750.0,0,273996.71331224055,318746.71331224055,0.8596063955139094,3305999.39992185,3287960.5597468866
15,2051.25,44750.0,0.0,44750.0,0,219200.4800625197,263950.48006251967,0.830460622805458,3579999.9999999995,2630405.7607502365
16,2051.3333333333335,44750.0,0.0,44750.0,0,196974.89539748954,241724.89539748954,0.814872192099148,3803749.9999999995,2363698.7447698745
17,2051.4166666666665,44750.0,0.0,44750.0,0,161025.10460251046,205775.10460251046,0.7825295723384895,4027499.9999999995,1932301.2552301255
18,2051.5,44750.0,0.0,44750.0,0,179000.0,223750.0,0.8,4251250.0,2148000.0
19,2051.5833333333335,44750.0,0.0,44750.0,0,179000.0,223750.0,0.8,4475000.0,2148000.0
20,2051.6666666666665,44750.0,0.0,44750.0,0,196900.0,241650.0,0.8148148148148148,4698750.0,2362800.0
21,2051.75,44750.0,0.0,44750.0,0,161100.0,205850.0,0.782608695652174,4922500.0,1933200.0
22,2051.8333333333335,44750.0,0.0,44750.0,0,179000.0,223750.0,0.8,5146250.0,2148000.0
23,2051.9166666666665,44750.0,0.0,44750.0,0,179000.0,223750.0,0.8,5370000.0,2148000.0
24,2052.0,44750.0,0.0,44750.0,0,179000.0,223750.0,0.8,5593750.0,2148000.0
