t,year,earth_arrivals_tons,rocket_arrivals_tons,elevator_arrivals_tons,rocket_trips,isru_production_tons,total_supply_tons,isru_share,cumulative_city_tons,capacity_tpy
0,2050.0,56750.0,12000.0,44750.0,80.0,0.008333333333333333,56750.00833333333,1.4684285655758347e-07,0.0,0.1
1,2050.0833333333335,56948.55104436436,12198.551044364362,44750.0,81.0,47457.13416891475,104405.68521327911,0.45454549790051846,59321.42812781011,569485.610026977
2,2050.1666666666665,56997.00276107395,12247.002761073949,44750.0,81.0,94756.89841077256,151753.9011718465,0.6244116143246269,177767.55114127585,1137082.7809292707
3,2050.25,57045.35303956685,12295.353039566853,44750.0,81.0,141899.8722003667,198945.22523993353,0.7132610095529132,355142.39139173424,1702798.4664044005
4,2050.3333333333335,57093.5997882304,12343.599788230398,44750.0,81.0,187094.11919131712,244187.71897954753,0.7661897165556782,589010.0403808805,2245129.4302958054
5,2050.4166666666665,57294.72539071417,12544.725390714168,44750.0,82.0,211979.01722591557,269273.74261662975,0.7872249821539942,853983.8119132749,2543748.206710987
6,2050.5,57343.35188838307,12593.351888383067,44750.0,82.0,234459.07733837902,291802.4292267621,0.8034856939322426,1147057.6585862488,2813508.928060548
7,2050.5833333333335,57391.867344157785,12641.867344157783,44750.0,82.0,254770.162085676,312162.0294298338,0.8161471866101574,1465520.361193344,3057241.945028112
8,2050.6666666666665,57440.2697205829,12690.269720582899,44750.0,82.0,273124.9912550685,330565.26097565144,0.8262362186787261,1806926.6002621795,3277499.8950608214
9,2050.75,57488.5570009714,12738.557000971403,44750.0,82.0,289715.4124911534,347203.9694921248,0.8344242518740117,2169070.8658761214,3476584.949893841
10,2050.8333333333335,57692.66288713194,12942.662887131939,44750.0,83.0,304832.1364634417,362524.7993505737,0.8408587136921873,2550111.0364554236,3657985.6375613
11,2050.9166666666665,57741.299999216135,12991.299999216139,44750.0,83.0,318502.4174136068,376243.7174128229,0.8465321882415353,2948239.0582224326,3822029.0089632813
12,2051.0,57789.81461686576,13039.814616865762,44750.0,83.0,330868.0780574535,388657.8926743193,0.8513092987274249,3361824.1557942494,3970416.936689442
13,2051.0833333333335,57838.20478577334,13088.204785773341,44750.0,83.0,342057.024954287,399895.22974006034,0.8553666048395493,3789395.436987108,4104684.299451444
14,2051.1666666666665,58044.73927976863,13294.739279768628,44750.0,84.0,352304.06347180496,410348.8027515736,0.8585478039888199,4229775.516326864,4227648.761661661
15,2051.25,58093.45472399431,13343.454723994315,44750.0,84.0,292153.4040216884,350246.8587456827,0.8341356866638554,4594967.271353975,3505840.8482602607
16,2051.3333333333335,58142.03842374141,13392.03842374141,44750.0,84.0,232568.15369496564,290710.19211870705,0.8,4885677.463472683,2790817.8443395877
17,2051.4166666666665,58190.48849346387,13440.488493463863,44750.0,84.0,232761.95397385542,290952.4424673193,0.7999999999999999,5176629.905940002,2793143.447686265
18,2051.5,58238.80307130009,13488.803071300097,44750.0,84.0,232955.21228520037,291194.01535650046,0.8,5467823.921296502,2795462.5474224044
19,2051.5833333333335,58448.1348469079,13698.1348469079,44750.0,85.0,233792.5393876316,292240.6742345395,0.8,5760064.595531042,2805510.4726515794
20,2051.6666666666665,58496.744833434226,13746.744833434224,44750.0,85.0,233986.97933373688,292483.7241671711,0.7999999999999999,6052548.319698213,2807843.7520048427
21,2051.75,58545.21220902986,13795.212209029867,44749.99999999999,85.0,234180.84883611943,292726.0610451493,0.8,6345274.380743362,2810170.1860334333
22,2051.8333333333335,58593.53518772862,13843.535187728628,44749.99999999999,85.0,234374.1407509145,292967.6759386431,0.8,6638242.0566820055,2812489.689010974
23,2051.9166666666665,58805.14391456943,14055.143914569424,44750.00000000001,86.0,235220.57565827767,294025.7195728471,0.7999999999999999,6932267.776254852,2822646.907899332
24,2052.0,58853.73788805216,14103.737888052148,44750.00000000001,86.0,235414.95155220857,294268.68944026076,0.7999999999999999,7226536.465695113,2824979.418626503
25,2052.0833333333335,58902.18049755675,14152.180497556756,44750.0,86.0,235608.721990227,294510.90248778375,0.8,7521047.368182896,2827304.663882724
26,2052.1666666666665,58950.470038459636,14200.47003845964,44750.0,86.0,235801.88015383855,294752.3501922982,0.8,7815799.718375194,2829622.5618460625
27,2052.25,58998.60483215119,14248.604832151188,44750.0,86.0,259402.12433326052,318400.7291654117,0.8147032986174446,8110792.74253595,3112825.4919991265
28,2052.3333333333335,59212.82256602589,14462.8225660259,44749.99999999999,87.0,213443.58525944778,272656.4078254737,0.7828298882162057,8406856.85536608,2561323.0231133737
29,2052.4166666666665,59261.19898506283,14511.198985062827,44750.00000000001,87.0,237044.79594025132,296305.99492531415,0.8,8703162.850291394,2844537.551283016
30,2052.5,59309.41392250666,14559.413922506657,44750.0,87.0,237237.65569002662,296547.06961253326,0.8,8999709.919903927,2846851.8682803195
31,2052.5833333333335,59357.46578694385,14607.465786943854,44750.0,87.0,260981.44286921146,320338.90865615534,0.8147041642991396,9296497.248838646,3131777.3144305376
32,2052.6666666666665,59405.353013958986,14655.353013958984,44750.0,87.0,214304.26761873974,273709.62063269876,0.7829621301705091,9593524.013908442,2571651.211424877
33,2052.75,59622.07491758185,14872.07491758184,44750.0,88.0,238253.86438598746,297875.9393035693,0.7998425953536978,9891634.388496352,2859046.3726318497
34,2052.8333333333335,59670.17487547331,14920.174875473316,44750.0,88.0,238680.69950189325,298350.87437736656,0.8,10189985.262873719,2864168.394022719
35,2052.9166666666665,59718.10372128882,14968.103721288815,44750.0,88.0,262568.7398045057,322286.84352579457,0.8147051146488726,10488575.781480161,3150824.8776540686
36,2053.0,59765.859982892405,15015.859982892407,44750.0,88.0,215605.17499205284,275371.03497494524,0.7829624310765646,10787405.081394624,2587262.0999046345
37,2053.0833333333335,59984.61769565201,15234.617695652003,44750.00000000001,89.0,239700.4108027743,299685.0284984263,0.7998411265447416,11087328.169872884,2876404.929633292
38,2053.1666666666665,60032.563197101874,15282.563197101883,44749.99999999999,89.0,240130.2527884075,300162.81598550937,0.8,11387490.985858394,2881563.03346089
39,2053.25,60080.32985538943,15330.329855389424,44750.00000000001,89.0,240321.3194215577,300401.64927694714,0.8,11687892.635135341,2883855.8330586925
40,2053.3333333333335,60127.91629440266,15377.91629440266,44750.0,89.0,240511.66517761062,300639.58147201326,0.8,11988532.216607355,2886139.9821313275
41,2053.4166666666665,60175.32116634703,15425.32116634703,44750.0,89.0,240701.28466538808,300876.6058317351,0.7999999999999999,12289408.82243909,2888415.415984657
42,2053.5,60396.39195123901,15646.391951239006,44750.0,90.0,241585.56780495602,301981.959756195,0.8,12591390.782195285,2899026.8136594724
43,2053.5833333333335,60443.95827379305,15693.958273793047,44750.0,90.0,241775.8330951722,302219.79136896523,0.8,12893610.57356425,2901309.9971420662
44,2053.6666666666665,60491.337072506314,15741.337072506318,44750.0,90.0,241965.34829002526,302456.68536253157,0.8,13196067.258926783,2903584.179480303
45,2053.75,60538.52709924997,15788.527099249974,44750.0,90.0,242154.10839699983,302692.6354962498,0.8,13498759.894423032,2905849.300763998
46,2053.8333333333335,60585.5271346216,15835.527134621603,44750.0,90.0,242342.10853848635,302927.6356731079,0.8,13801687.530096142,2908105.3024618365
47,2053.9166666666665,60808.8063878057,16058.806387805691,44750.00000000001,91.0,243235.22555122274,304044.0319390284,0.8,14105731.56203517,2918822.706614673
48,2054.0,60855.940858310394,16105.94085831039,44750.0,91.0,243423.76343324155,304279.70429155196,0.7999999999999999,14410011.266326722,2921085.1611988987
49,2054.0833333333335,60902.87970174878,16152.879701748785,44750.0,91.0,243611.51880699513,304514.3985087439,0.8,14714525.664835464,2923338.2256839415
50,2054.1666666666665,60949.621801210844,16199.621801210835,44750.0,91.0,243798.48720484335,304748.1090060542,0.8,15019273.773841519,2925581.8464581203
51,2054.25,60996.166068721795,16246.166068721803,44749.99999999999,91.0,243984.66427488718,304980.830343609,0.8,15324254.604185129,2927815.971298646
52,2054.3333333333335,61221.55003250469,16471.55003250468,44750.00000000001,92.0,268477.0406872854,329698.5907197901,0.8143105498302337,15630362.354347652,3221724.4882474253
53,2054.4166666666665,61268.202580602316,16518.202580602312,44750.00000000001,92.0,221481.96976514257,282750.1723457449,0.7833132971332586,15936703.367250664,2657783.637181711
54,2054.5,61314.651997991445,16564.65199799145,44750.0,92.0,245258.60799196575,306573.2599899572,0.7999999999999999,16243276.62724062,2943103.295903589
55,2054.5833333333335,61360.897301211124,16610.89730121112,44750.0,92.0,245443.58920484447,306804.4865060556,0.8,16550081.113746677,2945323.0704581337
56,2054.6666666666665,61406.9375357456,16656.9375357456,44749.99999999999,92.0,245627.75014298238,307034.68767872796,0.8,16857115.801425405,2947533.0017157886
