t,year,earth_arrivals_tons,rocket_arrivals_tons,elevator_arrivals_tons,rocket_trips,isru_production_tons,total_supply_tons,isru_share,cumulative_city_tons,capacity_tpy,N_t,C_dom,C_ag,M_dot_base,C_ind,loss_bio,loss_ind,loss_leak,net_loss,W_preempt,W_reactive,q_E_preempt,q_E_reactive
0,2050.0,56750.0,12000.0,44750.0,80.0,0.0083333333333333,56750.00833333333,1.468428565575835e-07,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2050.0833333333335,56948.55104436436,12198.551044364362,44750.0,81.0,47457.13416891475,104405.68521327912,0.4545454979005184,59321.42812781011,569485.610026977,0,0.0,0.0,1588.5225626648598,158.852256266486,0.0,7.942612813324307,0.0,7.942612813324307,0.0,0.0,0.0,0.0
2,2050.1666666666665,56997.00276107395,12247.002761073947,44750.0,81.0,94756.89841077256,151753.9011718465,0.6244116143246269,177767.55114127585,1137082.780929271,0,0.0,0.0,1578.273865285579,157.8273865285579,0.0,7.891369326427902,0.0,7.891369326427902,0.0,0.0,0.0,0.0
3,2050.25,57045.35303956685,12295.353039566851,44750.0,81.0,141899.8722003667,198945.22523993353,0.7132610095529132,355142.39139173424,1702798.4664044003,0,0.0,0.0,1573.0441356029012,157.30441356029013,0.0,7.865220678014514,0.0,7.865220678014514,0.0,0.0,0.0,0.0
4,2050.3333333333335,57093.5997882304,12343.599788230398,44750.0,81.0,187094.11919131712,244187.71897954753,0.7661897165556782,589010.0403808805,2245129.4302958054,0,0.0,0.0,1508.0831246538,150.80831246538,0.0,7.5404156232690065,0.0,7.5404156232690065,0.0,0.0,0.0,0.0
5,2050.4166666666665,57294.72539071417,12544.725390714168,44750.0,82.0,211979.01722591557,269273.74261662975,0.7872249821539942,853983.8119132749,2543748.206710987,0,0.0,0.0,836.2007879027408,83.62007879027408,0.0,4.181003939513707,0.0,4.181003939513707,0.0,0.0,0.0,0.0
6,2050.5,57343.35188838307,12593.351888383067,44750.0,82.0,234459.07733837905,291802.4292267621,0.8034856939322426,1147057.6585862488,2813508.928060548,0,0.0,0.0,750.9562203377446,75.09562203377446,0.0,3.7547811016887263,0.0,3.7547811016887263,0.0,0.0,0.0,0.0
7,2050.5833333333335,57391.867344157785,12641.867344157785,44750.0,82.0,254770.162085676,312162.0294298338,0.8161471866101574,1465520.361193344,3057241.945028112,0,0.0,0.0,678.6533401023906,67.86533401023907,0.0,3.3932667005119566,0.0,3.3932667005119566,0.0,0.0,0.0,0.0
8,2050.6666666666665,57440.2697205829,12690.2697205829,44750.0,82.0,273124.9912550685,330565.26097565144,0.8262362186787261,1806926.6002621795,3277499.8950608214,0,0.0,0.0,613.4410515272543,61.34410515272543,0.0,3.0672052576362745,0.0,3.0672052576362745,0.0,0.0,0.0,0.0
9,2050.75,57488.5570009714,12738.557000971405,44750.0,82.0,289715.4124911534,347203.9694921248,0.8344242518740117,2169070.8658761214,3476584.949893841,0,0.0,0.0,554.6236172157786,55.462361721577864,0.0,2.7731180860788958,0.0,2.7731180860788958,0.0,0.0,0.0,0.0
10,2050.8333333333335,57692.66288713194,12942.66288713194,44750.0,83.0,304832.1364634417,362524.7993505737,0.8408587136921873,2550111.0364554236,3657985.6375613,0,0.0,0.0,510.69432861496267,51.06943286149627,0.0,2.5534716430748157,0.0,2.5534716430748157,0.0,0.0,0.0,0.0
11,2050.9166666666665,57741.299999216135,12991.29999921614,44750.0,83.0,318502.4174136068,376243.7174128229,0.8465321882415353,2948239.0582224326,3822029.0089632818,0,0.0,0.0,457.2972687416399,45.729726874163994,0.0,2.286486343708202,0.0,2.286486343708202,0.0,0.0,0.0,0.0
12,2051.0,57789.81461686576,13039.814616865762,44750.0,83.0,330868.0780574535,388657.8926743193,0.8513092987274249,3361824.1557942494,3970416.936689442,0,0.0,0.0,413.80584204987974,41.380584204987976,0.0,2.0690292102494006,0.0,2.0690292102494006,0.0,0.0,0.0,0.0
13,2051.0833333333335,57838.20478577334,13088.20478577334,44750.0,83.0,342057.024954287,399895.22974006034,0.8553666048395493,3789395.436987108,4104684.299451444,0,0.0,0.0,374.577902191369,37.4577902191369,0.0,1.8728895109568469,0.0,1.8728895109568469,0.0,0.0,0.0,0.0
14,2051.1666666666665,58044.73927976863,13294.739279768628,44750.0,84.0,352304.06347180496,410348.8027515736,0.8585478039888199,4229775.516326864,4227648.761661661,0,0.0,0.0,348.45243371710916,34.845243371710914,0.0,1.7422621685855473,0.0,1.7422621685855473,0.0,0.0,0.0,0.0
15,2051.25,58093.45472399431,13343.454723994317,44750.0,84.0,292153.4040216884,350246.8587456827,0.8341356866638554,4594967.271353975,3505840.8482602607,0,0.0,0.0,-2003.3981335296974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2051.3333333333335,58142.03842374141,13392.03842374141,44750.0,84.0,232568.15369496564,290710.19211870705,0.8,4885677.463472683,2790817.8443395877,0,0.0,0.0,-1984.5555542325212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2051.4166666666665,58190.48849346387,13440.488493463865,44750.0,84.0,232761.95397385544,290952.4424673193,0.7999999999999999,5176629.905940002,2793143.447686265,0,0.0,0.0,8.075011620408622,0.8075011620408623,0.0,0.04037505810204315,0.0,0.04037505810204315,0.0,0.0,0.0,0.0
18,2051.5,58238.80307130009,13488.803071300095,44750.0,84.0,232955.21228520037,291194.01535650046,0.8,5467823.921296502,2795462.5474224044,0,0.0,0.0,8.0524296393715,0.80524296393715,0.0,0.040262148196857535,0.0,0.040262148196857535,0.0,0.0,0.0,0.0
19,2051.5833333333335,58448.1348469079,13698.1348469079,44750.0,85.0,233792.5393876316,292240.6742345395,0.8,5760064.595531042,2805510.4726515794,0,0.0,0.0,34.88862926796816,3.4888629267968163,0.0,0.17444314633984098,0.0,0.17444314633984098,0.0,0.0,0.0,0.0
20,2051.6666666666665,58496.744833434226,13746.744833434224,44750.0,85.0,233986.97933373688,292483.7241671711,0.7999999999999999,6052548.319698213,2807843.7520048427,0,0.0,0.0,8.101664421053526,0.8101664421053526,0.0,0.04050832210526767,0.0,0.04050832210526767,0.0,0.0,0.0,0.0
21,2051.75,58545.21220902986,13795.212209029867,44749.99999999999,85.0,234180.84883611943,292726.0610451493,0.8,6345274.380743362,2810170.1860334333,0,0.0,0.0,8.0778959326058,0.8077895932605801,0.0,0.04038947966302904,0.0,0.04038947966302904,0.0,0.0,0.0,0.0
