t,year,rocket_arrivals_tons,elevator_arrivals_tons,isru_production_tons,cumulative_city_tons,D_E_aggressive,D_M,D_total_aggressive,D_E_conservative,D_M_conservative,D_total_conservative
0,2050.0,12000.0,44750.0,0.0083333333333333,0.0,25015937.5,0.0083333333333333,25015937.508333333,55937.510416666664,0.0,55937.510416666664
1,2050.0833333333335,12198.551044364362,44750.0,47457.13416891475,59321.42812781011,50444861.17227787,47457.14250224808,50492318.314780116,171196.4281278101,0.0,171196.4281278101
2,2050.1666666666665,12247.002761073947,44750.0,94756.89841077256,177767.55114127585,75974564.41531168,142214.04091302064,76116778.4562247,345580.0511412758,0.0,345580.0511412758
3,2050.25,12295.353039566851,44750.0,141899.8722003667,355142.39139173424,101604836.23761073,284113.9131133873,101888950.15072411,578892.3913917341,0.0,578892.3913917341
4,2050.3333333333335,12343.599788230398,44750.0,187094.11919131712,589010.0403808805,127335461.29712996,471208.0323047044,127806669.32943466,868697.5403808805,0.0,868697.5403808805
5,2050.4166666666665,12544.725390714168,44750.0,211979.01722591557,853983.8119132749,153484427.60981542,683187.04953062,154167614.65934604,1189608.811913275,0.0,1189608.811913275
6,2050.5,12593.351888383067,44750.0,234459.07733837905,1147057.6585862488,179734537.0376522,917646.1268689991,180652183.1645212,1538620.1585862488,0.0,1538620.1585862488
7,2050.5833333333335,12641.867344157785,44750.0,254770.162085676,1465520.361193344,206085558.6135004,1172416.2889546752,207257974.90245506,1913020.3611933438,0.0,1913020.3611933438
8,2050.6666666666665,12690.2697205829,44750.0,273124.9912550685,1806926.6002621795,232537257.13231283,1445541.2802097437,233982798.41252258,2310364.1002621795,0.0,2310364.1002621795
9,2050.75,12738.557000971405,44750.0,289715.4124911534,2169070.8658761214,259089393.19433334,1735256.692700897,260824649.88703424,2728445.8658761214,0.0,2728445.8658761214
10,2050.8333333333335,12942.66288713194,44750.0,304832.1364634417,2550111.0364554236,286066069.4995678,2040088.8291643388,288106158.32873213,3165423.5364554236,0.0,3165423.5364554236
11,2050.9166666666665,12991.29999921614,44750.0,318502.4174136068,2948239.0582224326,313143910.9979374,2358591.2465779455,315502502.2445153,3619489.058222432,0.0,3619489.058222432
12,2051.0,13039.814616865762,44750.0,330868.0780574535,3361824.1557942494,340322662.90101814,2689459.324635399,343012122.2256535,4089011.655794249,0.0,4089011.655794249
13,2051.0833333333335,13088.20478577334,44750.0,342057.024954287,3789395.436987108,367602066.35542667,3031516.349589686,370633582.7050164,4572520.436987108,0.0,4572520.436987108
14,2051.1666666666665,13294.739279768628,44750.0,352304.06347180496,4229775.516326864,395311061.5573454,3383820.4130614907,398694881.9704069,5068838.016326863,0.0,5068838.016326863
15,2051.25,13343.454723994317,44750.0,292153.4040216884,4594967.271353975,423121384.8832536,3675973.817083179,426797358.70033675,5489967.271353974,0.0,5489967.271353974
16,2051.3333333333335,13392.03842374141,44750.0,232568.15369496564,4885677.463472683,451032762.3046357,3908541.970778145,454941304.2754139,5836614.963472681,0.0,5836614.963472681
17,2051.4166666666665,13440.488493463865,44750.0,232761.95397385544,5176629.905940002,479044915.8710405,4141303.9247520003,483186219.7957925,6183504.90594,0.0,6183504.90594
18,2051.5,13488.803071300095,44750.0,232955.21228520037,5467823.921296502,507157563.7593447,4374259.137037201,511531822.8963819,6530636.421296501,0.0,6530636.421296501
19,2051.5833333333335,13698.1348469079,44750.0,233792.5393876316,5760064.595531042,535705621.74091315,4608051.676424832,540313673.417338,6878814.59553104,0.0,6878814.59553104
20,2051.6666666666665,13746.744833434224,44750.0,233986.97933373688,6052548.319698213,564354788.4944563,4842038.655758569,569196827.1502149,7227235.819698211,0.0,7227235.819698211
21,2051.75,13795.212209029867,44749.99999999999,234180.84883611943,6345274.380743362,593104767.3892384,5076219.504594688,598180986.893833,7575899.38074336,0.0,7575899.38074336
22,2051.8333333333335,13843.535187728628,44749.99999999999,234374.1407509145,6638242.0566820055,621955258.079714,5310593.645345603,627265851.7250595,7924804.556682004,0.0,7924804.556682004
23,2051.9166666666665,14055.143914569424,44750.00000000001,235220.57565827767,6932267.776254852,651245894.9220183,5545814.221003881,656791709.1430222,8274767.77625485,0.0,8274767.77625485
24,2052.0,14103.737888052148,44750.00000000001,235414.95155220857,7226536.465695113,680637607.2291667,5781229.172556089,686418836.4017228,8624973.965695111,0.0,8624973.965695111
25,2052.0833333333335,14152.180497556756,44750.0,235608.721990227,7521047.368182896,710130080.1640848,6016837.894546316,716146918.0586311,8975422.368182896,0.0,8975422.368182896
26,2052.1666666666665,14200.47003845964,44750.0,235801.88015383857,7815799.718375194,739722995.3440808,6252639.774700155,745975635.118781,9326112.218375195,0.0,9326112.218375195
27,2052.25,14248.604832151188,44750.0,259402.12433326052,8110792.74253595,769416030.8949553,6512041.899033415,775928072.7939887,9706302.373791771,0.0,9706302.373791771
