t,year,earth_arrivals_tons,rocket_arrivals_tons,elevator_arrivals_tons,rocket_trips,isru_production_tons,total_supply_tons,isru_share,cumulative_city_tons,capacity_tpy
0,2050.0,12000.000000000002,12000.000000000002,14916.666666666666,80.0,0.008333333333333333,12000.008333333335,6.944439621916929e-07,-7.275957614183426e-12,0.1
1,2050.0833333333335,27115.21771103103,12198.551044364362,14916.666666666666,81.0,22596.023057803635,49711.240768834665,0.45454554560162375,28245.039238921214,271152.27669364365
2,2050.1666666666665,27163.669427740613,12247.002761073949,14916.666666666666,81.0,45138.2641515133,72301.9335792539,0.6243023100071716,84667.86942831284,541659.1698181597
3,2050.25,27212.01970623352,12295.353039566853,14916.666666666666,81.0,63913.553527894815,91125.57323412833,0.7013788913424133,164559.81133818137,766962.6423347378
4,2050.3333333333335,27260.266454897064,12343.599788230398,14916.666666666666,81.0,78216.57578923122,105476.84224412829,0.7415521182194417,262330.53107472043,938598.9094707747
5,2050.4166666666665,27461.392057380835,12544.725390714168,14916.666666666666,82.0,91268.07556642426,118729.4676238051,0.7687061804707792,376415.62553275074,1095216.9067970912
6,2050.5,27510.018555049734,12593.351888383067,14916.666666666666,82.0,103075.75008069942,130585.76863574915,0.7893337165109845,505260.3131336251,1236909.0009683932
7,2050.5833333333335,27558.53401082445,12641.867344157783,14916.666666666666,82.0,113761.55121302661,141320.08522385106,0.8049920931821424,647462.2521499083,1365138.6145563193
8,2050.6666666666665,27606.936387249567,12690.2697205829,14916.666666666666,82.0,123435.46421646516,151042.40060371472,0.8172239299898243,801756.5824204898,1481225.5705975823
9,2050.75,27655.22366763807,12738.557000971405,14916.666666666666,82.0,132196.68181608603,159851.90548372408,0.8269947199944147,967002.4346905974,1586360.1817930322
10,2050.8333333333335,27859.329553798605,12942.662887131939,14916.666666666668,83.0,140252.3504332237,168111.6799870223,0.8342808212020173,1142317.872732127,1683028.2051986845
11,2050.9166666666665,27907.966665882806,12991.299999216139,14916.666666666664,83.0,147554.3588178001,175462.32548368291,0.8409461028801986,1326760.8212543773,1770652.3058136012
12,2051.0,27956.481283532426,13039.814616865762,14916.666666666666,83.0,154176.55854400265,182133.03982753507,0.8465051628743203,1519481.5194343806,1850118.7025280322
13,2051.0833333333335,28004.871452440006,13088.20478577334,14916.666666666666,83.0,160185.55389624395,188190.42534868396,0.8511886489413482,1719713.4618046854,1922226.6467549275
14,2051.1666666666665,28211.405946435294,13294.739279768628,14916.666666666668,84.0,165760.86253014853,193972.26847658382,0.8545595915952235,1926914.5399673712,1989130.3503617824
15,2051.25,28260.12139066098,13343.454723994315,14916.666666666666,84.0,171386.73247960676,199646.85387026775,0.8584494529073587,2133717.271353975,2056640.789755281
16,2051.3333333333335,28308.705090408075,13392.03842374141,14916.666666666664,84.0,182467.91488194512,210776.6199723532,0.8656933340418818,2275260.796806015,2189614.9785833415
17,2051.4166666666665,28357.155160130525,13440.488493463863,14916.666666666666,84.0,193523.11321999138,221880.2683801219,0.8721961381822855,2417046.572606668,2322277.358639897
18,2051.5,28405.469737966763,13488.803071300097,14916.666666666666,84.0,101067.30127717028,129472.77101513704,0.7806066131492173,2559073.9212965015,2454628.551668731
19,2051.5833333333335,28614.801513574566,13698.1348469079,14916.666666666666,85.0,215622.91168927646,244237.713202851,0.8828403642568967,2702147.9288643743,2587474.9402713175
20,2051.6666666666665,28663.41150010089,13746.744833434224,14916.666666666666,85.0,0.0,28663.41150010089,0.0,2845464.9863648787,2720010.8521873583
21,2051.75,28711.878875696533,13795.212209029867,14916.666666666664,85.0,0.0,28711.878875696533,0.0,2989024.3807433615,2852236.8680150607
22,2051.8333333333335,28760.201854395295,13843.535187728628,14916.666666666664,85.0,248679.46308363674,277439.66493803205,0.8963370941901221,3132825.390015338,2984153.557003641
23,2051.9166666666665,28971.81058123609,14055.143914569424,14916.666666666666,86.0,259714.8863963033,288686.6969775394,0.899642723809022,3277684.4429215183,3116578.6367556397
24,2052.0,29020.404554718814,14103.737888052148,14916.666666666666,86.0,270724.5762674515,299744.9808221703,0.9031830175267029,3422786.465695112,3248694.9152094186
25,2052.0833333333335,29068.84716422342,14152.180497556756,14916.666666666668,86.0,281708.57685143023,310777.42401565367,0.906464096430765,3568130.701516229,3380502.9222171633
26,2052.1666666666665,29117.136705126308,14200.47003845964,14916.666666666666,86.0,29141.20410197208,58258.340807098386,0.5002065575204541,3713716.385041861,3512003.1769002234
27,2052.25,29165.271498817856,14248.604832151188,14916.666666666666,86.0,0.0,29165.271498817856,0.0,3859542.74253595,3643196.187823895
28,2052.3333333333335,29379.489232692566,14462.8225660259,14916.666666666668,87.0,14689.744616346283,44069.23384903885,0.3333333333333333,4006440.188699413,3774913.649871425
29,2052.4166666666665,29427.865651729495,14511.198985062827,14916.666666666666,87.0,158577.4069980229,188005.27264975238,0.8434731896772245,4153579.5169580607,3906324.171255608
30,2052.5,29476.080589173325,14559.413922506657,14916.666666666668,87.0,0.0,29476.080589173325,0.0,4300959.9199039275,4037428.22348791
31,2052.5833333333335,29524.132453610524,14607.465786943854,14916.666666666666,87.0,0.0,29524.132453610524,0.0,4448580.58217198,4168226.2681580964
32,2052.6666666666665,29572.01968062565,14655.353013958984,14916.666666666666,87.0,358226.5630925471,387798.58277317276,0.9237438686104673,4596440.680575109,4298718.757110566
33,2052.75,29788.741584248506,14872.07491758184,14916.666666666666,88.0,369145.9280730984,398934.6696573469,0.9253292735629254,4745384.388496351,4429751.136877181
34,2052.8333333333335,29836.841542139984,14920.174875473316,14916.666666666666,88.0,380039.8373486855,409876.6788908255,0.927205320334687,4894568.596207051,4560478.048184226
35,2052.9166666666665,29884.770387955483,14968.103721288817,14916.666666666666,88.0,0.0,29884.770387955483,0.0,5043992.448146828,3605840.793938362
