Bin     YDate                     ValMin                    ValMax                US     SU     RU     CN     F      J      AU     D      UK     I      I-ELDO IN     BR     KR     I-ESA  KP     IR     IL     CYM    NZ     Total
44   2000                     2000                     2001                       29      0     32      5     16      1      0      0      0      0      0      0      0      0      0      0      0      0      2      0           85
45   2001                     2001                     2002                       24      0     23      1      8      1      0      0      0      0      0      2      0      0      0      0      0      0      0      0           59
46   2002                     2002                     2003                       18      0     25      5     12      3      0      0      0      0      0      1      0      0      0      0      0      1      0      0           65
47   2003                     2003                     2004                       26      0     19      7      6      3      0      0      0      0      0      2      0      0      0      0      0      0      0      0           63
48   2004                     2004                     2005                       19      0     23      8      3      0      0      0      0      0      0      1      0      0      0      0      0      1      0      0           55
49   2005                     2005                     2006                       16      0     23      6      6      2      0      0      0      0      0      1      0      0      2      0      0      0      0      0           56
50   2006                     2006                     2007                       23      0     23      6      7      6      0      0      0      0      0      1      0      0      0      0      0      0      0      0           66
51   2007                     2007                     2008                       20      0     23     10      9      2      0      0      0      0      0      3      0      0      0      0      0      1      0      0           68
52   2008                     2008                     2009                       20      0     26     11      7      1      0      0      0      0      0      3      0      0      0      0      1      0      0      0           69
53   2009                     2009                     2010                       25      0     32      6      7      3      0      0      0      0      0      2      0      1      0      1      1      0      0      0           78
54   2010                     2010                     2011                       15      0     30     15      7      2      0      0      0      0      0      3      0      1      0      0      0      1      0      0           74
55   2011                     2011                     2012                       19      0     30     19      9      3      0      0      0      0      0      3      0      0      0      0      1      0      0      0           84
56   2012                     2012                     2013                       16      0     23     19     10      2      0      0      0      0      0      2      0      0      1      2      3      0      0      0           78
57   2013                     2013                     2014                       20      0     31     15      7      3      0      0      0      0      0      3      0      1      1      0      0      0      0      0           81
58   2014                     2014                     2015                       24      0     32     16     10      4      0      0      0      0      0      4      0      0      1      0      0      1      0      0           92
59   2015                     2015                     2016                       20      0     26     19      9      4      0      0      0      0      0      5      0      0      3      0      1      0      0      0           87
60   2016                     2016                     2017                       22      0     17     22     11      4      0      0      0      0      0      7      0      0      0      1      0      1      0      0           85
61   2017                     2017                     2018                       29      0     19     18     11      7      0      0      0      0      0      5      0      0      0      0      0      0      0      1           90
62   2018                     2018                     2019                       31      0     17     39     11      6      0      0      0      0      0      7      0      0      0      0      0      0      0      3          114
63   2019                     2019                     2020                       21      0     22     34      9      2      0      0      0      0      0      6      0      0      0      0      2      0      0      6          102
64   2020                     2020                     2021                       37      0     12     39     10      4      0      0      0      0      0      2      0      0      0      0      2      1      0      7          114
65   2021                     2021                     2022                       45      0     16     56     15      3      0      0      0      0      0      2      0      1      0      0      2      0      0      6          146
66   2022                     2022                     2023                       78      0     21     64      5      1      0      0      0      0      0      5      0      1      1      0      1      0      0      9          186
67   2023                     2023                     2024                      109      0     19     67      3      3      0      0      0      0      0      7      0      2      0      3      2      1      0      7          223
68   2024                     2024                     2025                      145      0     17     68      2      7      0      0      0      0      0      5      0      0      1      1      4      0      0     13          263
69   2025                     2025                     2026                      181      0     17     92      7      4      1      1      0      0      0      5      0      2      0      0      1      1      0     17          329
70   2026                     2026                     2027                       12      0      0      7      0      0      0      0      0      0      0      1      0      0      0      0      0      0      0      2           22
71 Total                    Total                    Total                      2352   2449    886    741    350    142      1      1      2      9      4    101      2      9     20      9     21     13      4     71         7187
